Characteristic,Level/statistic,"No Grade >=2 VCF (N=2,895)",Grade >=2 VCF (N=105)
"Age, years",Mean (SE),56.9 (0.3),68.0 (1.4)
Sex,Male,48.6 (0.9),51.5 (7.0)
Sex,Female,51.4 (0.9),48.5 (7.0)
Race/ethnicity,Mexican American,6.7 (1.5),3.3 (1.9)
Race/ethnicity,Other Hispanic,4.3 (0.8),2.0 (1.0)
Race/ethnicity,Non-Hispanic White,72.2 (3.0),79.5 (4.5)
Race/ethnicity,Non-Hispanic Black,10.3 (1.4),5.3 (2.1)
Race/ethnicity,Other/multiracial,6.5 (0.8),10.0 (3.9)
Education,Less than 9th grade,4.7 (0.7),5.2 (2.3)
Education,9th-11th grade,10.2 (1.3),11.4 (2.9)
Education,High school/GED,21.5 (1.2),23.8 (6.9)
Education,Some college/associate degree,30.8 (1.6),29.5 (3.9)
Education,College graduate or above,32.9 (2.3),30.1 (6.7)
Family income-to-poverty ratio,Mean (SE),3.20 (0.12),2.54 (0.20)
"Body mass index, kg/m2",Mean (SE),29.2 (0.2),27.1 (0.6)
Smoking status,Never,54.0 (1.7),41.0 (6.6)
Smoking status,Former,28.2 (1.2),46.8 (8.0)
Smoking status,Current,17.8 (1.8),12.3 (3.4)
Alcohol status,Past-year drinker,78.6 (2.1),74.9 (4.9)
Alcohol status,Former/light lifetime drinker,10.2 (1.0),17.6 (3.9)
Alcohol status,Lifetime <12 drinks,11.2 (1.5),7.5 (2.7)
Moderate/vigorous recreational activity,No,48.3 (1.5),55.5 (6.4)
Moderate/vigorous recreational activity,Yes,51.7 (1.5),44.5 (6.4)
Diabetes,No,86.8 (0.8),85.5 (3.7)
Diabetes,Yes,13.2 (0.8),14.5 (3.7)
Hypertension,No,56.1 (1.3),32.8 (6.0)
Hypertension,Yes,43.9 (1.3),67.2 (6.0)
Cardiovascular disease,No,89.0 (0.7),84.0 (4.2)
Cardiovascular disease,Yes,11.0 (0.7),16.0 (4.2)
Cancer,No,85.1 (0.5),77.2 (3.6)
Cancer,Yes,14.9 (0.5),22.8 (3.6)
"Maximum single-trial grip strength, kg",Mean (SE),36.9 (0.3),31.8 (1.3)
FNIH low grip strength,No,98.5 (0.2),91.6 (2.9)
FNIH low grip strength,Yes,1.5 (0.2),8.4 (2.9)
All-cause death,No,93.9 (0.7),75.5 (5.9)
All-cause death,Yes,6.1 (0.7),24.5 (5.9)
