"term","beta","variance","imputation"
"vcf_grade2",0.571812882072294,0.0616580954934008,1
"low_grip",0.657149477085556,0.0252033900630288,1
"vcf_grade2",0.59054354245136,0.062388985892773,2
"low_grip",0.657020004340624,0.0243603047455298,2
"vcf_grade2",0.586958035346122,0.0635064319753716,3
"low_grip",0.662602576910468,0.0237305953559048,3
"vcf_grade2",0.580350803633053,0.0623587883933453,4
"low_grip",0.661811622557648,0.0237852540700191,4
"vcf_grade2",0.582924212972091,0.0612989174244737,5
"low_grip",0.6715450666606,0.0256034802343589,5
"vcf_grade2",0.574716632628507,0.06298174004483,6
"low_grip",0.676079030934339,0.0247608838522079,6
"vcf_grade2",0.588372637466064,0.0637055349071226,7
"low_grip",0.660193187820099,0.024595280427409,7
"vcf_grade2",0.567624916730235,0.0593982384210957,8
"low_grip",0.668343039698541,0.0265319980049483,8
"vcf_grade2",0.576528979815415,0.0601715042662396,9
"low_grip",0.658071832366973,0.0245764632092035,9
"vcf_grade2",0.584643196960153,0.0621170494317621,10
"low_grip",0.649155889923845,0.0236668277044532,10
"vcf_grade2",0.588985146215116,0.061974970807303,11
"low_grip",0.66139842987722,0.0241153189800124,11
"vcf_grade2",0.587827757599444,0.0603890890729056,12
"low_grip",0.672671756234214,0.0260061935746477,12
"vcf_grade2",0.581502820198725,0.0600319807366449,13
"low_grip",0.664078489415509,0.026465566067279,13
"vcf_grade2",0.592767681034606,0.0642925745068652,14
"low_grip",0.662337733763561,0.0258155042253798,14
"vcf_grade2",0.586372196467421,0.0628578155099374,15
"low_grip",0.661432957684408,0.0234666015451413,15
"vcf_grade2",0.580283846648609,0.0613390717859636,16
"low_grip",0.664485461633034,0.0264779327007822,16
"vcf_grade2",0.583349487327061,0.0605539054888102,17
"low_grip",0.676560972378727,0.0264884736619011,17
"vcf_grade2",0.570616780944737,0.0606496848214913,18
"low_grip",0.646811669005354,0.0250641472504763,18
"vcf_grade2",0.567737485249423,0.0625801787297803,19
"low_grip",0.643135722863279,0.0243338077209502,19
"vcf_grade2",0.56745426574426,0.0605360058871087,20
"low_grip",0.666636894392347,0.0273875675678524,20

