"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Primary: continuous PIR",2623,220,"vcf_grade2",1.61422700207334,1.05283205358837,2.47497101303249,0.0280838718634501
"Primary: continuous PIR",2623,220,"low_grip",1.73983018152762,1.20164164832757,2.51906137305359,0.00335927175142692
"Primary: continuous PIR",2623,220,"INDFMPIR",0.826242336172111,0.71823564869272,0.950490830308556,0.00757573285930608
"Primary: continuous PIR",2623,220,"age10",1.96405069620555,1.65041767763389,2.33728418541651,2.8623641808828e-14
"Primary: continuous PIR",2623,220,"female",0.804324127786626,0.566567414228231,1.14185406059924,0.223222937260064
"Primary: continuous PIR",2623,220,"race2",0.743100982416217,0.312711203891254,1.76584357450773,0.501349183632245
"Primary: continuous PIR",2623,220,"race3",1.56084346214202,1.00336436015945,2.42806343343142,0.0482796899887163
"Primary: continuous PIR",2623,220,"race4",1.3614921214353,0.879422055192446,2.10781704391615,0.166419998833935
"Primary: continuous PIR",2623,220,"race5",0.719634391626881,0.224602548906763,2.30573366211962,0.579708243559584
"Primary: continuous PIR",2623,220,"education2",0.713942667326473,0.253792388315972,2.0083901475983,0.523125945202131
"Primary: continuous PIR",2623,220,"education3",1.02358392901051,0.592369284759921,1.76870085381488,0.933426708488894
"Primary: continuous PIR",2623,220,"education4",1.01690797901035,0.535772937797859,1.93011211433204,0.959100187157316
"Primary: continuous PIR",2623,220,"education5",1.20162800977139,0.584026404418625,2.4723366322872,0.617793229853917
"Primary: continuous PIR",2623,220,"bmi",0.983576225497745,0.945093218042298,1.02362621262731,0.41607779297069
"Primary: continuous PIR",2623,220,"smokingFormer",1.21677742677717,0.7997844575909,1.85118289341875,0.359426148393003
"Primary: continuous PIR",2623,220,"smokingCurrent",2.43814274301132,1.23504942069944,4.81320013245479,0.0102173900471637
"Primary: continuous PIR",2623,220,"alcoholFormer/light lifetime",1.60181863402571,0.992293161738052,2.58575090028618,0.0538135470065215
"Primary: continuous PIR",2623,220,"alcoholPast-year drinker",1.3343389190642,0.827262744896921,2.1522307899303,0.236992403879982
"Primary: continuous PIR",2623,220,"phys_active",0.692789051273582,0.461977215368304,1.03891848688233,0.0758447072090388
"Primary: continuous PIR",2623,220,"diabetes",1.71840703783441,1.14654256159849,2.57550207605196,0.00873167941860305
