"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Primary: continuous PIR",2623,220,"vcf_grade2",1.61422700207334,1.05283205358837,2.47497101303249,0.0280838718634501
"Primary: continuous PIR",2623,220,"low_grip",1.73983018152762,1.20164164832757,2.51906137305359,0.00335927175142692
"Primary: continuous PIR",2623,220,"INDFMPIR",0.826242336172111,0.71823564869272,0.950490830308556,0.00757573285930608
"PIR-quartile-stratified baseline hazard",2623,220,"vcf_grade2",1.64292553585166,1.07145939716658,2.51918488324559,0.0228171751452728
"PIR-quartile-stratified baseline hazard",2623,220,"low_grip",1.75169785013348,1.18771234071888,2.58349202324954,0.00468737320781899
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"vcf_grade2",1.61612301879181,1.0534400858706,2.47935658316081,0.0279186325059016
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"low_grip",1.74643352414967,1.20730456598827,2.52631369100899,0.00307478419638745
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"INDFMPIR",0.997214576151997,0.765528283761104,1.29902046989597,0.983503154983115
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"INDFMPIR:period2",0.884692200825855,0.664634628351957,1.17760985782948,0.401127199920845
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"INDFMPIR:period3",0.715122016287661,0.546927453357826,0.935040826785391,0.0142477231897799

