"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Primary complete-case Model 4",2623,220,"vcf_grade2",1.61422700207335,1.05283205358838,2.47497101303249,0.0280838718634488
"Primary complete-case Model 4",2623,220,"low_grip",1.73983018152762,1.20164164832757,2.5190613730536,0.00335927175142688
"Primary complete-case Model 4",2623,220,"age10",1.96405069620555,1.65041767763388,2.3372841854165,2.86236418088292e-14
"Primary complete-case Model 4",2623,220,"female",0.804324127786622,0.566567414228228,1.14185406059924,0.223222937260054
"Primary complete-case Model 4",2623,220,"race2",0.743100982416196,0.312711203891243,1.76584357450769,0.501349183632207
"Primary complete-case Model 4",2623,220,"race3",1.56084346214199,1.00336436015945,2.42806343343134,0.0482796899887179
"Primary complete-case Model 4",2623,220,"race4",1.36149212143527,0.879422055192441,2.10781704391607,0.166419998833949
"Primary complete-case Model 4",2623,220,"race5",0.719634391626863,0.224602548906757,2.30573366211956,0.579708243559554
"Primary complete-case Model 4",2623,220,"education2",0.713942667326449,0.253792388315967,2.0083901475982,0.523125945202083
"Primary complete-case Model 4",2623,220,"education3",1.02358392901047,0.592369284759901,1.7687008538148,0.933426708489002
"Primary complete-case Model 4",2623,220,"education4",1.01690797901031,0.535772937797842,1.93011211433195,0.959100187157408
"Primary complete-case Model 4",2623,220,"education5",1.20162800977133,0.584026404418605,2.47233663228707,0.617793229853995
"Primary complete-case Model 4",2623,220,"INDFMPIR",0.826242336172112,0.71823564869272,0.950490830308559,0.00757573285930697
"Primary complete-case Model 4",2623,220,"bmi",0.983576225497745,0.945093218042297,1.02362621262731,0.416077792970691
"Primary complete-case Model 4",2623,220,"smokingFormer",1.21677742677716,0.799784457590892,1.85118289341874,0.359426148393027
"Primary complete-case Model 4",2623,220,"smokingCurrent",2.43814274301129,1.23504942069943,4.81320013245473,0.0102173900471647
"Primary complete-case Model 4",2623,220,"alcoholFormer/light lifetime",1.6018186340257,0.992293161738052,2.58575090028616,0.0538135470065216
"Primary complete-case Model 4",2623,220,"alcoholPast-year drinker",1.33433891906419,0.827262744896926,2.15223078993027,0.23699240387998
"Primary complete-case Model 4",2623,220,"phys_active",0.69278905127358,0.461977215368302,1.03891848688233,0.0758447072090364
"Primary complete-case Model 4",2623,220,"diabetes",1.71840703783441,1.14654256159848,2.57550207605195,0.0087316794186038
"Primary complete-case Model 4",2623,220,"hypertension",1.77798754003939,1.36416330405933,2.31734696507993,2.06867736337911e-05
"Primary complete-case Model 4",2623,220,"cvd",1.20755238344248,0.712387533284208,2.04689539138226,0.483646820591051
"Primary complete-case Model 4",2623,220,"cancer",1.27782936740036,0.884565986870611,1.84593113055076,0.19141859825598
"Two-year landmark",2570,167,"vcf_grade2",1.5237260673363,0.991032634345185,2.34274941895753,0.0549897737088124
"Two-year landmark",2570,167,"low_grip",1.68942435056065,1.29728833026966,2.20009273934808,9.96113905394687e-05
"Two-year landmark",2570,167,"age10",2.09973986527227,1.7819658335794,2.47418183824408,7.9747620952594e-19
"Two-year landmark",2570,167,"female",0.806543979935228,0.539576303382123,1.2056000003934,0.294495535929397
"Two-year landmark",2570,167,"race2",0.802732968985087,0.293000622588573,2.19924522276679,0.669143627165689
"Two-year landmark",2570,167,"race3",1.62323987714507,1.07122588283137,2.45971250413552,0.0223440851566113
"Two-year landmark",2570,167,"race4",1.31061593172859,0.783980908340711,2.19101524313434,0.302197088247493
"Two-year landmark",2570,167,"race5",0.656033389591883,0.166272762562604,2.58839632917852,0.54720759143366
"Two-year landmark",2570,167,"education2",0.950766506067584,0.514222553866403,1.75790995992528,0.872091500277702
"Two-year landmark",2570,167,"education3",1.50796505840491,0.861791813075153,2.63864031065218,0.150167013264009
"Two-year landmark",2570,167,"education4",1.35237122566286,0.61570670400295,2.97042068912102,0.452098517435953
"Two-year landmark",2570,167,"education5",1.49472173205661,0.68950386145988,3.24029085428453,0.308584323186987
"Two-year landmark",2570,167,"INDFMPIR",0.785711264184294,0.674291605506312,0.915541859968035,0.00199533247459979
"Two-year landmark",2570,167,"bmi",0.988977913788487,0.940904572400747,1.0395074512879,0.662877098748605
"Two-year landmark",2570,167,"smokingFormer",1.24248082292744,0.834659094924076,1.84956781125457,0.284794940173038
"Two-year landmark",2570,167,"smokingCurrent",2.83989201162851,1.28220404769997,6.28994008572854,0.0100905836267596
"Two-year landmark",2570,167,"alcoholFormer/light lifetime",1.15002090157151,0.633915805218417,2.0863150329493,0.645535291090222
"Two-year landmark",2570,167,"alcoholPast-year drinker",1.04468514925051,0.640030207236478,1.70518055042569,0.86117542776737
"Two-year landmark",2570,167,"phys_active",0.861917102436239,0.52905756611606,1.40419708374251,0.550677578790365
"Two-year landmark",2570,167,"diabetes",1.79581927615746,1.13927241634029,2.83072496653463,0.0116825456545558
"Two-year landmark",2570,167,"hypertension",1.73310915120035,1.19498261145501,2.51356572152723,0.00374253581637585
"Two-year landmark",2570,167,"cvd",1.26699133963,0.681758690994246,2.35459712637673,0.454197071788113
"Two-year landmark",2570,167,"cancer",1.31528152189006,0.878376230683031,1.96950397949657,0.183373701688908
"Any-grade VCF",2623,220,"any_vcf",1.213189864139,0.820507362203136,1.79380431456168,0.332782191018652
"Any-grade VCF",2623,220,"low_grip",1.72725883375179,1.18577837181633,2.51600395966382,0.00440045330154957
"Any-grade VCF",2623,220,"age10",1.9831081411368,1.66613473793377,2.36038407333141,1.30553500871603e-14
"Any-grade VCF",2623,220,"female",0.811464416656572,0.575096752206562,1.14498038281962,0.234328224159882
"Any-grade VCF",2623,220,"race2",0.734547124595536,0.310608795016536,1.73710302769387,0.482362722466974
"Any-grade VCF",2623,220,"race3",1.556206545472,0.999700816714333,2.42250358475194,0.0501508885472721
"Any-grade VCF",2623,220,"race4",1.3596623480273,0.886183872264102,2.08611526174578,0.159501685446501
"Any-grade VCF",2623,220,"race5",0.718817686385995,0.226211904287018,2.28413649533548,0.575684047940254
"Any-grade VCF",2623,220,"education2",0.7239631222524,0.257883011520102,2.03240453604129,0.539652575958512
"Any-grade VCF",2623,220,"education3",1.052156058687,0.601569164722082,1.84024121705639,0.858529949610442
"Any-grade VCF",2623,220,"education4",1.04243356338412,0.546387764302751,1.98882150199027,0.899658955725905
"Any-grade VCF",2623,220,"education5",1.23915312910806,0.602702945733812,2.54769034770316,0.559821630057552
"Any-grade VCF",2623,220,"INDFMPIR",0.82132699533085,0.715701487273799,0.942541052735211,0.00506995633783366
"Any-grade VCF",2623,220,"bmi",0.981923982445689,0.944081402650264,1.02128344504545,0.362973511025326
"Any-grade VCF",2623,220,"smokingFormer",1.23688533146914,0.811183289261113,1.88599215917903,0.323276210238238
"Any-grade VCF",2623,220,"smokingCurrent",2.42625018278348,1.24044287841492,4.74563565311377,0.00961153290985948
"Any-grade VCF",2623,220,"alcoholFormer/light lifetime",1.5935582524999,0.986399804673012,2.57444080187379,0.0569042612519736
"Any-grade VCF",2623,220,"alcoholPast-year drinker",1.34900234106294,0.832215129023289,2.18670299629024,0.224464783656134
"Any-grade VCF",2623,220,"phys_active",0.687127322525067,0.462990348702535,1.01977062520544,0.0624891546206603
"Any-grade VCF",2623,220,"diabetes",1.71355807775932,1.13901202386101,2.57791948139481,0.00974763157587952
"Any-grade VCF",2623,220,"hypertension",1.80488825350533,1.39354073023205,2.33765797939689,7.65293316155795e-06
"Any-grade VCF",2623,220,"cvd",1.19980904339014,0.708810873478272,2.03092502452261,0.497546087146068
"Any-grade VCF",2623,220,"cancer",1.26807460855361,0.879889876831313,1.82751643722645,0.202754939518075
"Grip per 5-kg lower",2623,220,"vcf_grade2",1.5606357863647,1.02197391013465,2.38321549457293,0.0393383434613219
"Grip per 5-kg lower",2623,220,"grip_lower5",1.34246178860488,1.17536018391801,1.53332032046266,1.40969375579143e-05
