"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Primary complete-case Model 4",2623,220,"vcf_grade2",1.61422700207335,1.05283205358838,2.47497101303249,0.0280838718634488
"Primary complete-case Model 4",2623,220,"low_grip",1.73983018152762,1.20164164832757,2.5190613730536,0.00335927175142688
"Two-year landmark",2570,167,"vcf_grade2",1.5237260673363,0.991032634345185,2.34274941895753,0.0549897737088124
"Two-year landmark",2570,167,"low_grip",1.68942435056065,1.29728833026966,2.20009273934808,9.96113905394687e-05
"Any-grade VCF",2623,220,"any_vcf",1.213189864139,0.820507362203136,1.79380431456168,0.332782191018652
"Any-grade VCF",2623,220,"low_grip",1.72725883375179,1.18577837181633,2.51600395966382,0.00440045330154957
"Grip per 5-kg lower",2623,220,"vcf_grade2",1.5606357863647,1.02197391013465,2.38321549457293,0.0393383434613219
"Grip per 5-kg lower",2623,220,"grip_lower5",1.34246178860488,1.17536018391801,1.53332032046266,1.40969375579143e-05
"Sex interactions",2623,220,"vcf_grade2",2.72822900331523,1.66231638114499,4.47762747149467,7.17145506247887e-05
"Sex interactions",2623,220,"low_grip",1.98352572367111,1.1270548723433,3.49084538207526,0.0175619655184029
"Sex interactions",2623,220,"vcf_grade2:female",0.316666422206859,0.13230166053062,0.757946820554717,0.0098119074967294
"Sex interactions",2623,220,"female:low_grip",0.802822959318444,0.29707637360945,2.16955894599732,0.665020238305909
"Age >=65 interactions",2623,220,"vcf_grade2",1.99676546718838,0.643295047634995,6.1978906034083,0.231451933232673
"Age >=65 interactions",2623,220,"low_grip",1.04966620476495,0.124033328502101,8.88308936583118,0.964517831280451
"Age >=65 interactions",2623,220,"vcf_grade2:older65",0.766308487599945,0.240553259673463,2.44115876444511,0.652520873464512
"Age >=65 interactions",2623,220,"older65:low_grip",1.68613618116536,0.219806774197323,12.9343384971505,0.615258890434001
"VCF x low-grip interaction",2623,220,"vcf_grade2",1.51753922946697,0.913703035363953,2.52043084441969,0.107105751061849
"VCF x low-grip interaction",2623,220,"low_grip",1.59926160556984,1.07773816788519,2.37315310829958,0.0197120889978298
"VCF x low-grip interaction",2623,220,"vcf_grade2:low_grip",1.75357526409647,0.500252782523654,6.14694473329714,0.380128442580352
"Men",1281,117,"vcf_grade2",2.51302681241771,1.45573962204712,4.33820970748154,0.000939433487797963
"Men",1281,117,"low_grip",2.00949102689238,1.10619002798892,3.65041637059619,0.0219427993274134
"Women",1342,103,"vcf_grade2",0.79705950369952,0.332727096138858,1.90938417643206,0.61082200470474
"Women",1342,103,"low_grip",1.81187534625193,1.00610177056355,3.26298230100193,0.0476734437698119
"Exclude top influence observations",2613,214,"vcf_grade2",1.34763832707328,0.789049898717234,2.30166566594756,0.274629422703958
"Exclude top influence observations",2613,214,"low_grip",1.65939019684209,0.960609691421481,2.86648765879195,0.0693846706422377

